"","names","interval","lower","upper"
"239","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"240","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"241","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"242","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"243","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"244","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"245","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"246","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"247","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"248","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"249","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"250","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"251","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"252","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"253","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"254","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"255","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"256","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"257","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"258","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"259","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"260","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"261","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"262","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"263","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"264","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"265","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"266","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"267","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"268","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"269","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"270","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"271","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"272","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"273","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"274","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"275","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"276","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"277","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"278","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"279","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"280","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"281","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"282","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"283","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"284","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"285","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"286","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"287","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"288","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"289","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"290","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"291","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"292","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"293","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"294","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"295","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"296","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"297","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"298","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"299","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"300","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"301","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"302","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"303","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"304","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"305","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"306","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"307","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"308","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"309","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"310","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"311","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"312","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"313","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"314","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"315","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"316","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"317","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"318","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"319","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"320","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"321","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"322","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
